Manufacturer,Model,Description,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,CO2 g/km
VAUXHALL,Corsa 3 Door Hatchback,"1.2i 16V 85PS LE w/ 17"" wheels",Petrol,7.2,4.5,5.5,129
VAUXHALL,Corsa 3 Door Hatchback,1.2i 16v VVT 85PS Easytronic,Petrol,6.8,4.4,5.3,125
VAUXHALL,Corsa 3 Door Hatchback,1.2i 16v VVT 85PS ecoFLEX,Petrol,6.4,4.3,5.1,119
VAUXHALL,Corsa 3 Door Hatchback,"1.2i 85PS Energy 16v w/ 14-16"" wheels",Petrol,7.2,4.5,5.5,129
VAUXHALL,Corsa 3 Door Hatchback,"1.2i 85PS Sting 16v w/ 14"", 15"", 16"" & 17"" wheels",Petrol,7.2,4.5,5.5,129
VAUXHALL,Corsa 3 Door Hatchback,"1.3 CDTi 75PS Police w/ 14-16"" wheels",Diesel,5.3,3.6,4.2,112
VAUXHALL,Corsa 3 Door Hatchback,1.3CDTi 16v 75PS ecoFLEX,Diesel,5.3,3.5,4.2,110
VAUXHALL,Corsa 3 Door Hatchback,1.3CDTi 16v 75PS ecoFLEX ,Diesel,4.8,3.5,4,105
VAUXHALL,Corsa 3 Door Hatchback,1.3CDTi 16v 95PS ecoFLEX,Diesel,5.4,3.8,4.4,115
VAUXHALL,Corsa 3 Door Hatchback,1.3CDTi 16v 95PS ecoFLEX ,Diesel,4.2,3.1,3.5,94
VAUXHALL,Corsa 3 Door Hatchback,"1.4i 100PS Energy w/ 14-16"" wheels",Petrol,7.1,4.6,5.5,129
VAUXHALL,Corsa 3 Door Hatchback,1.4i 16v VVT 100PS Auto.,Petrol,8,5,6.1,143
VAUXHALL,Corsa 3 Door Hatchback,1.4i 16v VVT 100PS Manual,Petrol,7.1,4.6,5.5,129
VAUXHALL,Corsa 3 Door Hatchback,"1.6i 16V 192PS VXR w/ 17"" wheels",Petrol,9.8,5.9,7.3,172
VAUXHALL,Corsa 3 Door Hatchback,"1.6i 16V 210PS VXR Nurburgring w/ 18"" wheels",Petrol,10.2,6.1,7.6,178
VAUXHALL,Corsa 3 Door Hatchback,"1.6i 16v 210PS VXR Turbo Clubsport w/ 18"" wheels",Petrol,10.2,6.1,7.6,178
VAUXHALL,Corsa 3 Door Hatchback,1.7CDTi 16v 130PS ecoFLEX,Diesel,5.6,3.8,4.5,118
VAUXHALL,Corsa 3 Door Hatchback,Black Edition A/C 1.4i 16V 120PS Turbo,Petrol,7.2,4.5,5.5,129
VAUXHALL,Corsa 3 Door Hatchback,VXR Nurburgring 16v Turbo,Petrol,10.2,6.1,7.8,178
VAUXHALL,Corsa 5 Door Hatchback,1.0i 12v 65PS ecoFLEX,Petrol,6.4,4.3,5.1,120
VAUXHALL,Corsa 5 Door Hatchback,1.2i 16v VVT 85PS,Petrol,7.2,4.5,5.5,129
VAUXHALL,Corsa 5 Door Hatchback,1.2i 16v VVT 85PS Easytronic,Petrol,6.8,4.4,5.3,125
VAUXHALL,Corsa 5 Door Hatchback,"1.2i 16v VVT 85PS ecoFLEX w/ up to 16"" wheels ",Petrol,6.4,4.3,5.1,119
VAUXHALL,Corsa 5 Door Hatchback,1.2i 85PS Energy 16v,Petrol,7.2,4.5,5.5,129
VAUXHALL,Corsa 5 Door Hatchback,1.3 CDTi 95PS SXI a/c ecoFLEX,Diesel,5.4,3.8,4.4,115
VAUXHALL,Corsa 5 Door Hatchback,1.3CDTi 16v 75PS ecoFLEX ,Diesel,4.8,3.5,4,105
VAUXHALL,Corsa 5 Door Hatchback,1.3CDTi 16v 75PS ecoFLEX Stop/Start,Diesel,5.3,3.6,4.2,112
VAUXHALL,Corsa 5 Door Hatchback,1.3CDTi 16v 95PS ecoFLEX ,Diesel,4.3,3.2,3.6,95
VAUXHALL,Corsa 5 Door Hatchback,1.3CDTi 16v 95PS ecoFLEX Stop/Start,Diesel,5.4,3.8,4.4,115
VAUXHALL,Corsa 5 Door Hatchback,1.4i 16v VVT 100PS Auto.,Petrol,8.2,5.1,6.3,147
VAUXHALL,Corsa 5 Door Hatchback,1.4i 16v VVT 100PS Manual,Petrol,7.1,4.6,5.5,129
VAUXHALL,Corsa 5 Door Hatchback,1.7CDTi 16v 130PS ecoFLEX,Diesel,5.7,3.9,4.6,119
VAUXHALL,Insignia 4 Door Saloon,1.4i 16v Turbo,Petrol,7.5,4.7,5.7,134
VAUXHALL,Insignia 4 Door Saloon,1.6i 16v Turbo,Petrol,9.7,5.4,7,164
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 130PS Auto.,Diesel,7.5,4.5,5.6,147
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 130PS ecoFLEX,Diesel,5.3,3.9,4.4,116
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 130PS Manual,Diesel,6,3.9,4.7,124
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 160PS 4x4 Auto.,Diesel,8.7,5,6.4,169
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 160PS 4x4 Manual,Diesel,7,4.7,5.6,147
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 160PS Auto.,Diesel,7.9,4.3,5.7,149
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 160PS ecoFLEX Manual,Diesel,5.4,3.7,4.3,115
VAUXHALL,Insignia 4 Door Saloon,2.0CDTi 16v 160PS Manual,Diesel,6.4,4.3,5.1,134
VAUXHALL,Insignia 4 Door Saloon,2.0i 16v Turbo Auto.,Petrol,13,6.2,8.7,204
VAUXHALL,Insignia 4 Door Saloon,2.0i 16v Turbo Manual,Petrol,10.8,5.8,7.6,179
VAUXHALL,Insignia 4 Door Saloon,2.8i 24v 325PS VXR NAV Turbo 4x4,Petrol,15.8,7.6,10.6,249
VAUXHALL,Insignia 5 Door Hatchback,1.4i 140PS Energy Turbo ,Petrol,6.8,4.3,5.2,123
VAUXHALL,Insignia 5 Door Hatchback,1.4i 16v Turbo,Petrol,7.5,4.7,5.7,134
VAUXHALL,Insignia 5 Door Hatchback,1.6i 16v Turbo,Petrol,9.7,5.4,7,164
VAUXHALL,Insignia 5 Door Hatchback,1.6i 170PS Elite NAV Turbo,Petrol,9.1,5.2,6.6,155
VAUXHALL,Insignia 5 Door Hatchback,1.8i 140PS LE VVT,Petrol,9.8,5.4,7,164
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 120PS Design NAV ecoFLEX,Diesel,4.6,3.3,3.7,99
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 120PS LE ecoFLEX,Diesel,4.5,3.3,3.7,98
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 120PS SRI VX-Line ecoFLEX,Diesel,4.5,3.2,3.7,98
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 120PS Tech Line NAV ecoFLEX,Diesel,4.6,3.3,3.7,99
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 140PS Design NAV ecoFLEX,Diesel,4.5,3.3,3.7,99
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 140PS Elite NAV ecoFLEX,Diesel,4.5,3.2,3.7,98
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 140PS SRi NAV ecoFLEX,Diesel,4.5,3.2,3.7,98
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 140PS SRI VX-Line ecoFLEX,Diesel,4.5,3.2,3.7,98
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 140PS Tech Line NAV ecoFLEX,Diesel,4.6,3.3,3.7,99
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 163PS Design NAV ecoFLEX,Diesel,5.4,3.7,4.3,114
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 163PS Elite NAV,Diesel,7.8,4.3,5.6,148
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 163PS SRI NAV EcoFLEX,Diesel,5.4,3.7,4.3,114
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 163PS SRi VX-Line NAV ecoFLEX,Diesel,5.4,3.7,4.3,114
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 163PS Tech Line NAV,Diesel,7.8,4.3,5.6,148
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 163PS Tech Line NAV ecoFLEX,Diesel,5.4,3.7,4.3,114
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 16v 195PS SRI VX-Line,Diesel,6.1,4.2,4.9,129
VAUXHALL,Insignia 5 Door Hatchback,2.0 CDTi 250PS SRi VX-Line NAV Turbo,Diesel,10.1,5.5,7.2,169
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 130PS Auto.,Diesel,7.5,4.5,5.6,147
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 130PS ecoFLEX,Diesel,5.3,3.9,4.4,116
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 130PS Manual,Diesel,6,3.9,4.7,124
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 160PS 4x4 Auto.,Diesel,8.7,5,6.4,169
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 160PS 4x4 Manual,Diesel,7,4.8,5.6,149
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 160PS Auto.,Diesel,7.9,4.3,5.7,149
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 160PS ecoFLEX Manual,Diesel,5.4,3.7,4.3,115
VAUXHALL,Insignia 5 Door Hatchback,2.0CDTi 16v 160PS Manual,Diesel,6.4,4.3,5.1,134
VAUXHALL,Insignia 5 Door Hatchback,2.0i 16v Turbo Auto.,Petrol,13.1,6.3,8.8,206
VAUXHALL,Insignia 5 Door Hatchback,2.0i 16v Turbo Manual,Petrol,10.8,5.8,7.6,179
VAUXHALL,Insignia 5 Door Hatchback,2.0i CDTi 130PS LE ,Diesel,5.6,3.9,4.5,119
VAUXHALL,Insignia 5 Door Hatchback,2.0i CDTi 140PS Energy ecoFLEX ,Diesel,4.6,3.3,3.7,99
VAUXHALL,Insignia 5 Door Hatchback,2.0i CDTi 140PS LE ecoFLEX ,Diesel,4.5,3.2,3.7,98
VAUXHALL,Insignia 5 Door Hatchback,2.0i CDTi 163PS Elite NAV ecoFLEX ,Diesel,5.4,3.7,4.3,114
VAUXHALL,Insignia 5 Door Hatchback,2.0i CDTi 163PS Energy ecoFLEX ,Diesel,5.4,3.7,4.3,114
VAUXHALL,Insignia 5 Door Hatchback,2.0i CDTi 163PS LE,Diesel,7.2,4.2,5.3,140
VAUXHALL,Insignia 5 Door Hatchback,2.0i CDTi 195PS SRI VX-Line NAV Bi-Turbo,Diesel,5.8,4.1,4.7,125
VAUXHALL,Insignia 5 Door Hatchback,SRI NAV 2.0CDTI 195PS ,Diesel,6.1,4.2,4.9,129
VAUXHALL,Insignia 5 Door Hatchback,VXR NAV 2.8i 24v V6 Turbo 4x4,Petrol,15.8,7.5,10.6,249
VAUXHALL,Insignia 5 Door Hatchback,VXR Supersport NAV 2.8i 24v V6 Turbo 4x4,Petrol,15.8,7.6,10.6,249
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 140PS SRI EcoFLEX ,Diesel,4.7,3.5,3.9,104
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 163PS 16v Country 4x4,Diesel,6.9,4.8,5.6,147
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 163PS Country Police 4x4,Diesel,6.9,4.8,5.6,147
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 163PS Country Tourer NAV 4x4 Auto.,Diesel,8.7,5,6.4,169
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 163PS Country Tourer NAV 4x4 Manual,Diesel,6.8,4.7,5.4,144
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 163PS Country Tourer Tech Line NAV ecoFLEX ,Diesel,5.6,3.9,4.5,119
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 163PS Design NAV ecoFLEX ,Diesel,5.6,3.9,4.5,119
VAUXHALL,Insignia 5 Door Sport Tourer,2.0 CDTi 165PS 16v SE NAV,Diesel,8,4.6,5.9,155
VAUXHALL,Insignia 5 Door Sport Tourer,2.0CDTi 160PS SRI 4x4,Diesel,7.9,5,6,159
VAUXHALL,Insignia 5 Door Sport Tourer,2.0CDTi 160PS SRI NAV,Diesel,7.9,4.9,6,159
VAUXHALL,Insignia 5 Door Sport Tourer,2.0i CDTi 140PS Tech Line NAV ecoFLEX ,Diesel,4.7,3.5,3.9,104
VAUXHALL,Insignia 5 Door Sport Tourer,2.0i CDTi 163PS LE ecoFLEX ,Diesel,5.6,3.9,4.5,119
VAUXHALL,Insignia 5 Door Sport Tourer,NAV EcoFlex,Diesel,5.6,3.9,4.5,119
VAUXHALL,Insignia 5 Door Sport Tourer,SRI 2.0D 195PS 4x4 ,Diesel,6.9,4.9,5.6,149
VAUXHALL,Insignia 5 Door Sport Tourer,VXR NAV 24v V6 Turbo 4x4,Petrol,16,7.9,10.9,255
VAUXHALL,Insignia 5 Door Sport Tourer,VXR Supersport NAV 2.8i 24v V6 Turbo 4x4,Petrol,16,7.9,10.9,255
VAUXHALL,Meriva,1.4 100PS 16v Energy,Petrol,7.6,5.9,6,140
VAUXHALL,Meriva,1.4i 120PS SE 16v Turbo,Petrol,7.8,4.8,5.9,139
VAUXHALL,Meriva,1.4i 16v 100PS Active,Petrol,7.8,5.1,6.1,143
VAUXHALL,Meriva,1.4i 16v 100PS Tech Line,Petrol,7.6,5,6,140
VAUXHALL,Meriva,1.4i 16v Turbo 120PS,Petrol,7.8,4.8,5.9,139
VAUXHALL,Meriva,1.6 CDTi 16v 136PS Elite ecoFLEX,Diesel,4.6,3.6,3.9,104
VAUXHALL,Meriva,1.7 CDTi 130PS Exclusive A/C,Diesel,6.5,4.5,5.3,139
VAUXHALL,Meriva,1.7CDTi 110PS w/ A/C,Diesel,7.9,5,6.1,160
VAUXHALL,Mokka,1.4 165PS Turbo SE AWD,Petrol,8,5.5,6.4,149
VAUXHALL,Mokka,1.4i 140PS Exclusive Turbo Front Wheel Drive,Petrol,8.7,5.7,6.8,123
VAUXHALL,Mokka,1.4T 140PS AWD,Petrol,8,5.5,6.4,149
VAUXHALL,Mokka,1.4T 140PS Exclusive Turbo AWD,Petrol,8,5.5,6.4,149
VAUXHALL,Mokka,1.6 115PS Manual,Petrol,8.4,5.4,6.5,153
VAUXHALL,Mokka,1.6i 115PS SE,Petrol,8.4,5.4,6.5,153
VAUXHALL,Mokka,1.7 CDTi 130PS Exclusive A/C,Diesel,5.4,4,4.5,120
VAUXHALL,Mokka,1.7 CDTi 130PS Exclusive AWD,Diesel,5.6,4.5,4.9,129
VAUXHALL,Mokka,1.7 CDTi 130PS SE,Diesel,6.4,4.6,5.3,139
VAUXHALL,Mokka,1.7 CDTi 130PS SE AWD,Diesel,5.6,4.5,4.9,129
VAUXHALL,Mokka,1.7 CDTi 130PS Tech Line,Diesel,5.4,4,4.5,120
VAUXHALL,Mokka,1.7CDTi 130PS Auto.,Diesel,6.4,4.6,5.3,139
VAUXHALL,Mokka,1.7CDTi 130PS AWD Manual,Diesel,5.6,4.5,4.9,129
VAUXHALL,Mokka,1.7CDTi 130PS Manual,Diesel,5.4,4,4.5,120
VAUXHALL,Mokka,Tech Line 1.6 115PS ,Petrol,8.4,5.4,6.5,153
VAUXHALL,Mokka,Tech Line 1.7CDTi 130PS Auto.,Diesel,6.4,4.6,5.3,139
VAUXHALL,Mokka,Tech Line 1.7CDTi 130PS AWD Manual,Diesel,5.6,4.5,4.9,129
VAUXHALL,Mokka,Tech Line 1.7CDTi 130PS Manual,Diesel,5.4,4,4.5,120
VAUXHALL,Zafira,1.4i 16v Turbo 140PS wheels Auto.,Petrol,9.7,5.8,7.2,169
VAUXHALL,Zafira,1.4i 16v Turbo 140PS wheels Manual,Petrol,8.8,5.5,6.7,158
VAUXHALL,Zafira,1.4i 16v Turbo 140PS wheels Start/Stop Manual,Petrol,8.1,5.3,6.3,148
VAUXHALL,Zafira,1.7CDTi 110PS ecoFLEX,Diesel,6.1,4.5,5.1,134
VAUXHALL,Zafira,1.8i 140PS 16v Tech Line,Petrol,9.7,5.8,7.2,169
VAUXHALL,Zafira,1.8i 16v 140PS,Petrol,9.7,5.8,7.2,169
VAUXHALL,Zafira,2.0CDTi 130PS,Diesel,6.4,4.5,5.2,137
VAUXHALL,Zafira,2.0CDTi 130PS ecoFLEX,Diesel,5.3,4,4.5,119
VAUXHALL,Zafira,2.0CDTi 165PS,Diesel,6.5,4.5,5.3,139
VAUXHALL,Zafira,2.0CDTi 165PS Automatic,Diesel,8,4.9,6,159
VAUXHALL,Zafira,2.0CDTi 165PS Manual,Diesel,6.2,4.6,5.2,137
VOLKSWAGEN C.V.,California Motor Home ,2.0 BiTDI 180PS,Diesel,9.8,6.7,7.8,205
VOLKSWAGEN C.V.,California Motor Home ,2.0 BiTDI 180PS 4MOTION,Diesel,10.5,7.2,8.4,221
VOLKSWAGEN C.V.,California Motor Home ,2.0 BiTDI 180PS 4MOTION 7speed DSG,Diesel,11.1,7.5,8.8,232
VOLKSWAGEN C.V.,California Motor Home ,2.0 BiTDI 180PS 7speed DSG,Diesel,10.2,6.9,8.1,214
VOLKSWAGEN C.V.,California Motor Home ,2.0 TDI 140PS ,Diesel,9.8,6.5,7.7,203
VOLKSWAGEN C.V.,California Motor Home ,2.0 TDI 140PS 7speed DSG,Diesel,10.4,6.9,8.2,216
VOLKSWAGEN C.V.,New Caddy ,1.6 TDI CR 102PS,Diesel,6.6,5.2,5.7,149
VOLKSWAGEN C.V.,New Caddy ,1.6 TDI CR 102PS BlueMotion,Diesel,5.9,4.7,5.1,134
VOLKSWAGEN C.V.,New Caddy ,1.6 TDI CR 102PS DSG,Diesel,6.5,5.2,5.7,149
VOLKSWAGEN C.V.,New Caddy ,2.0 TDI CR 110PS 4MOTION,Diesel,7.8,5.7,6.5,171
VOLKSWAGEN C.V.,New Caddy ,2.0 TDI CR 140PS,Diesel,7.5,5.4,6.1,161
VOLKSWAGEN C.V.,New Caddy ,2.0 TDI CR 140PS DSG,Diesel,7.6,5.5,6.3,166
VOLKSWAGEN C.V.,New Caddy Maxi ,1.6 TDI CR 102PS,Diesel,6.7,5.3,5.8,152
VOLKSWAGEN C.V.,New Caddy Maxi ,1.6 TDI CR 102PS BlueMotion,Diesel,6,4.8,5.2,136
VOLKSWAGEN C.V.,New Caddy Maxi ,1.6 TDI CR 102PS DSG,Diesel,6.6,5.3,5.8,152
VOLKSWAGEN C.V.,New Caddy Maxi ,2.0 TDI CR 110PS 4MOTION,Diesel,7.8,5.7,6.5,171
VOLKSWAGEN C.V.,New Caddy Maxi ,2.0 TDI CR 140PS,Diesel,7.5,5.4,6.1,161
VOLKSWAGEN C.V.,New Caddy Maxi ,2.0 TDI CR 140PS DSG,Diesel,9.6,5.5,6.3,166
VOLKSWAGEN C.V.,T5 Shuttle,2.0 TDI 102PS,Diesel,9.5,6.1,7.3,193
VOLKSWAGEN C.V.,T5 Shuttle,2.0 TDI 140PS,Diesel,9.6,6.3,7.5,198
VOLKSWAGEN C.V.,T5 Shuttle,2.0 TDI 140PS 7speed DSG ,Diesel,10.2,6.7,8,211
VOLKSWAGEN C.V.,T5 Shuttle,2.0 TDI 180PS,Diesel,9.8,6.7,7.8,205
VOLKSWAGEN C.V.,T5 Shuttle,2.0 TDI 84PS,Diesel,9.5,6.1,7.3,193
VOLKSWAGEN C.V.,T5 Window Van,2.0 TDI 102PS,Diesel,9.5,6.1,7.3,193
VOLKSWAGEN C.V.,T5 Window Van,2.0 TDI 140PS,Diesel,9.6,6.3,7.5,198
VOLKSWAGEN C.V.,T5 Window Van,2.0 TDI 140PS 4MOTION,Diesel,10.2,6.9,8.1,214
VOLKSWAGEN C.V.,T5 Window Van,2.0 TDI 140PS 7speed DSG,Diesel,10.2,6.7,8,211
VOLKSWAGEN C.V.,T5 Window Van,2.0 TDI 180PS,Diesel,9.6,6.5,7.6,199
VOLKSWAGEN C.V.,T5 Window Van,2.0 TDI 84PS,Diesel,9.5,6.1,7.3,193
VOLKSWAGEN,Beetle Cabriolet,1.2 TSI 105PS 7speed DSG Cabriolet,Petrol,7.3,5.2,5.9,139
VOLKSWAGEN,Beetle Cabriolet,1.2 TSI 105PS 7speed DSG Design,Petrol,7.3,5.2,5.9,139
VOLKSWAGEN,Beetle Cabriolet,1.2 TSI 105PS Cabriolet,Petrol,7.8,5.2,6.1,142
VOLKSWAGEN,Beetle Cabriolet,1.2 TSI 105PS Design,Petrol,7.8,5.2,6.1,142
VOLKSWAGEN,Beetle Cabriolet,1.4 TSI 160PS 50's Edition,Petrol,8.8,5.6,6.8,158
VOLKSWAGEN,Beetle Cabriolet,1.4 TSI 160PS 60's Edition,Petrol,8.8,5.6,6.8,158
VOLKSWAGEN,Beetle Cabriolet,1.4 TSI 160PS 70's Edition,Petrol,8.8,5.6,6.8,158
VOLKSWAGEN,Beetle Cabriolet,1.4 TSI 160PS Design,Petrol,8.8,5.6,6.8,158
VOLKSWAGEN,Beetle Cabriolet,1.4 TSI 160PS Sport,Petrol,8.8,5.6,6.8,158
VOLKSWAGEN,Beetle Cabriolet,1.6 TDI 105PS 7speed DSG BMT Cabriolet,Diesel,4.9,4.3,4.5,119
VOLKSWAGEN,Beetle Cabriolet,1.6 TDI 105PS 7speed DSG BMT Design,Diesel,4.9,4.3,4.5,119
VOLKSWAGEN,Beetle Cabriolet,1.6 TDI 105PS BMT Cabriolet,Diesel,5.2,4.1,4.5,118
VOLKSWAGEN,Beetle Cabriolet,1.6 TDI 105PS BMT Design,Diesel,5.2,4.1,4.5,118
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS 50's Edition,Diesel,6.4,4.4,5.1,134
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS 60's Edition,Diesel,6.4,4.4,5.1,134
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS 70's Edition,Diesel,6.4,4.4,5.1,134
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS Design,Diesel,6.4,4.4,5.1,134
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS DSG 50's Edition,Diesel,7,4.8,5.6,145
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS DSG 60's Edition,Diesel,7,4.8,5.6,145
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS DSG 70's Edition,Diesel,7,4.8,5.6,145
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS DSG Design,Diesel,7,4.8,5.6,145
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS DSG Sport,Diesel,7,4.8,5.6,145
VOLKSWAGEN,Beetle Cabriolet,2.0 TDI 140PS Sport,Diesel,6.4,4.4,5.1,134
VOLKSWAGEN,Beetle Cabriolet,2.0 TSI 210PS DSG Sport,Petrol,10.3,6.3,7.8,180
VOLKSWAGEN,Beetle Cabriolet,2.0 TSI 210PS Sport,Petrol,10,6.1,7.5,174
VOLKSWAGEN,Beetle,1.2 TSI 105PS 7speed DSG Beetle,Petrol,7.3,5,5.9,137
VOLKSWAGEN,Beetle,1.2 TSI 105PS 7speed DSG Design,Petrol,7.3,5,5.9,137
VOLKSWAGEN,Beetle,1.2 TSI 105PS Beetle,Petrol,7.6,5,5.9,137
VOLKSWAGEN,Beetle,1.2 TSI 105PS Design,Petrol,7.6,5,5.9,137
VOLKSWAGEN,Beetle,1.4 TSI 160PS Design,Petrol,8.7,5.3,6.6,153
VOLKSWAGEN,Beetle,1.4 TSI 160PS Sport,Petrol,8.7,5.3,6.6,153
VOLKSWAGEN,Beetle,2.0 CR TDI 140PS Design,Diesel,6.3,4.2,4.9,129
VOLKSWAGEN,Beetle,2.0 CR TDI 140PS DSG Design,Diesel,6.9,4.6,5.4,140
VOLKSWAGEN,Beetle,2.0 CR TDI 140PS DSG Fender,Diesel,6.9,4.6,5.4,140
VOLKSWAGEN,Beetle,2.0 CR TDI 140PS DSG Sport,Diesel,6.9,4.6,5.4,140
VOLKSWAGEN,Beetle,2.0 CR TDI 140PS Fender,Diesel,6.3,4.2,4.9,129
VOLKSWAGEN,Beetle,2.0 CR TDI 140PS Sport,Diesel,6.3,4.2,4.9,129
VOLKSWAGEN,Beetle,2.0 TSI 210PS DSG GSR,Petrol,10.1,6.1,7.6,176
VOLKSWAGEN,Beetle,2.0 TSI 210PS DSG Sport,Petrol,10.1,6.1,7.6,176
VOLKSWAGEN,Beetle,2.0 TSI 210PS DSG Turbo Black,Petrol,10.1,6.1,7.6,176
VOLKSWAGEN,Beetle,2.0 TSI 210PS DSG Turbo Silver,Petrol,10.1,6.1,7.6,176
VOLKSWAGEN,Beetle,2.0 TSI 210PS GSR,Petrol,9.8,5.9,7.3,169
VOLKSWAGEN,Beetle,2.0 TSI 210PS Sport,Petrol,9.8,5.9,7.3,169
VOLKSWAGEN,Beetle,2.0 TSI 210PS Turbo Black,Petrol,9.8,5.9,7.3,169
VOLKSWAGEN,Beetle,2.0 TSI 210PS Turbo Silver,Petrol,9.8,5.9,7.3,169
VOLKSWAGEN,Caddy Camper,1.6 CR TDI 102PS BlueMotion,Diesel,6,4.8,5.2,136
VOLKSWAGEN,Caddy Camper,1.6 CR TDI 102PS DSG BlueMotion,Diesel,5.8,5.1,5.3,139
VOLKSWAGEN,Caddy Camper,2.0 CR TDI 140PS BlueMotion,Diesel,6.8,5.1,5.7,149
VOLKSWAGEN,Caddy Camper,2.0 CR TDI 140PS DSG BlueMotion,Diesel,6.6,5.5,5.9,155
VOLKSWAGEN,Caravelle,2.0 TDI 140PS 7speed DSG LWB Executive,Diesel,10.4,6.9,8.2,216
VOLKSWAGEN,Caravelle,2.0 TDI 140PS 7speed DSG LWB SE,Diesel,10.4,6.9,8.2,216
VOLKSWAGEN,Caravelle,2.0 TDI 140PS 7speed DSG SWB Executive,Diesel,10.4,6.9,8.2,216
VOLKSWAGEN,Caravelle,2.0 TDI 140PS 7speed DSG SWB SE,Diesel,10.4,6.9,8.2,216
VOLKSWAGEN,Caravelle,2.0 TDI 140PS LWB Executive,Diesel,9.8,6.5,7.7,203
VOLKSWAGEN,Caravelle,2.0 TDI 140PS LWB SE,Diesel,9.8,6.5,7.7,203
VOLKSWAGEN,Caravelle,2.0 TDI 140PS SWB Executive,Diesel,9.8,6.5,7.7,203
VOLKSWAGEN,Caravelle,2.0 TDI 140PS SWB SE,Diesel,9.8,6.5,7.7,203
VOLKSWAGEN,Caravelle,2.0 TDI 180PS 4MOTION SWB Executive,Diesel,11.1,7.5,8.8,232
VOLKSWAGEN,Caravelle,2.0 TDI 180PS 4MOTION SWB SE,Diesel,11.1,7.5,8.8,232
VOLKSWAGEN,Caravelle,2.0 TDI 180PS 7speed DSG LWB Executive,Diesel,10,6.7,7.9,208
VOLKSWAGEN,Caravelle,2.0 TDI 180PS 7speed DSG LWB SE,Diesel,10,6.7,7.9,208
VOLKSWAGEN,Caravelle,2.0 TDI 180PS 7speed DSG SWB Executive,Diesel,10,6.7,7.9,208
VOLKSWAGEN,Caravelle,2.0 TDI 180PS 7speed DSG SWB SE,Diesel,10,6.7,7.9,208
VOLKSWAGEN,Caravelle,2.0 TDI 180PS LWB Executive,Diesel,9.6,6.5,7.6,199
VOLKSWAGEN,Caravelle,2.0 TDI 180PS LWB SE,Diesel,9.6,6.5,7.6,199
VOLKSWAGEN,Caravelle,2.0 TDI 180PS SWB Executive,Diesel,9.6,6.5,7.6,199
